experiment,sharpe,sortino,ic,dir_acc,ann_return,ann_vol,max_dd,total,time_s,description
D13_lgbm_maxw60_tc3,0.9374953801709429,1.5165355921153547,0.037829803166450675,0.48860009119927034,0.12737162813159816,0.13586373951877312,-0.20945194745885398,0.4080763272287169,7.718832015991211,LGBM macro λ=5 maxW=0.6 tc=3bps
D10_lgbm_maxw70,0.9249270081955567,1.4945002336177986,0.037829803166450675,0.48860009119927034,0.12840141918050363,0.13882329961474732,-0.22236145501027715,0.4106232984168463,5.994927167892456,LGBM macro λ=5 maxW=0.7
D9_lgbm_maxw65,0.91215112578208,1.4686000039396632,0.037829803166450675,0.48860009119927034,0.1251423611474648,0.13719476697478997,-0.21768443250717373,0.3982813079810863,5.850843191146851,LGBM macro λ=5 maxW=0.65
D8_svr_maxw60,0.9032713102177707,1.3893927814326785,0.20001992187543557,0.5096899224806203,0.10642699654359418,0.11782395315747997,-0.18256515726640754,0.33399276909035347,3.627005100250244,SVR macro λ=5 maxW=0.6
D11_lgbm_maxw60_shrink10,0.8960613214817857,1.4478013956249949,0.037829803166450675,0.48860009119927034,0.121714358431047,0.13583262162211415,-0.21307360138407805,0.385214169333038,6.7184059619903564,LGBM macro λ=5 maxW=0.6 shrink=0.1
D12_lgbm_maxw60_lam3,0.8650359076918482,1.389620829731171,0.037829803166450675,0.48860009119927034,0.11795789549592678,0.136361848620447,-0.21564320144554094,0.36993763791138745,6.268158912658691,LGBM macro λ=3 maxW=0.6
D6_icens_maxw60,0.6561233062017331,1.0545402376769177,0.09411562789130994,0.5082079343365252,0.08438690875087296,0.12861440517847902,-0.21738706684875897,0.24672158363587515,14.728641033172607,IC-weighted ensemble (LGBM+SVR+Ridge) macro maxW=0.6
D7_icens_lam3_maxw60,0.6171361785257452,0.9894033820992204,0.09411562789130994,0.5082079343365252,0.08052162566815407,0.13047626839915516,-0.22714688102608172,0.2319852257176711,16.30957293510437,IC-weighted ensemble λ=3 maxW=0.6
D14_xgb_maxw60,0.5618750543876231,0.8729226331243379,-0.02662754182446246,0.4819881440948473,0.07547679918102818,0.13433021913259505,-0.21500089006117074,0.21230346851606297,8.390563726425171,XGBoost macro λ=5 maxW=0.6
D5_icens_maxw50,0.516941987344999,0.8298755535471152,0.09411562789130994,0.5082079343365252,0.06674661886753352,0.1291181999170593,-0.22904569141587483,0.18440674515687627,14.501461029052734,IC-weighted ensemble (LGBM+SVR+Ridge) macro maxW=0.5
D3_regime_lgbm_vix25,0.4130794174700219,0.6154016841439098,0.01559158037796079,0.4793661650706795,0.057208556421236775,0.13849287570806776,-0.21139198198753462,0.14792914354193964,8.183089971542358,Regime-conditional LGBM (VIX=25 split) macro maxW=0.6
D15_lgbm_maxw60_weekly,0.38538569410753093,0.5881328261738631,0.037829803166450675,0.48860009119927034,0.05122072081911993,0.13290768599425032,-0.2607284451797397,0.13066845853134357,7.713250160217285,LGBM macro λ=5 maxW=0.6 weekly rebalance
D2_regime_lgbm_maxw60,0.31238586297600696,0.469464235938776,-0.007443967303953758,0.4946420428636571,0.04048983400751192,0.12961480913949608,-0.2762876713657656,0.09742655140677914,8.736750841140747,Regime-conditional LGBM (VIX=20 split) macro maxW=0.6
D1_regime_lgbm_maxw50,0.305340378567115,0.46975508842792446,-0.007443967303953758,0.4946420428636571,0.03741523936187427,0.12253616615481551,-0.27011614534389505,0.09052173036261912,9.395780801773071,Regime-conditional LGBM (VIX=20 split) macro maxW=0.5
D4_regime_lgbm_lam3,0.25830630477039795,0.3818083171160658,-0.007443967303953758,0.4946420428636571,0.034283523955711846,0.13272430181750933,-0.28193330276293727,0.07659162433056865,8.060481071472168,Regime-conditional LGBM (VIX=20) λ=3 maxW=0.6
