experiment,sharpe,sortino,ic,dir_acc,ann_return,ann_vol,max_dd,total,time_s,description
C22_lgbm_maxw60,0.8973233649617681,1.4469700578711033,0.037829803166450675,0.48860009119927034,0.12211953934067638,0.13609312329215842,-0.2129351501554988,0.38669831262544707,5.6517860889434814,LGBM macro λ=5 maxW=0.6
C3_svr_macro,0.8682186286555805,1.3699393401856241,0.20001992187543557,0.5096899224806203,0.09328502134769198,0.10744416010992762,-0.177647215660228,0.2885334377160069,3.351846933364868,SVR macro λ=5 maxW=0.5
C30_lgbm_maxw50_tc3,0.844321842170137,1.3640089501816135,0.037829803166450675,0.48860009119927034,0.1135411773962739,0.1344761816233987,-0.20342196393811973,0.3535284050670213,5.369574069976807,LGBM macro maxW=0.5 tc=3bps (best case)
C25_lgbm_lam3_maxw50_tc5,0.8378057960534473,1.354976909613029,0.037829803166450675,0.48860009119927034,0.11302700438500858,0.1349083581391195,-0.20327106507127246,0.35128732947069086,5.31497597694397,LGBM λ=3 maxW=0.5 tc=5bps
C23_lgbm_shrink10_maxw50,0.7959637267449088,1.2784058206293718,0.037829803166450675,0.48860009119927034,0.10694987600565456,0.1343652636572093,-0.20678689038886466,0.3279923023435414,5.324895858764648,LGBM macro shrink=0.1 maxW=0.5
C4_lgbm_lam2_maxw50,0.7926451941381065,1.2727196302747028,0.037829803166450675,0.48860009119927034,0.10792887411647265,0.13616290733186184,-0.20839111769519425,0.3308284034710465,5.597369194030762,"LGBM λ=2 maxW=0.5 (aggressive, swarm-safe)"
C26_lgbm_lam7_maxw50,0.7920071577823634,1.271508462790322,0.037829803166450675,0.48860009119927034,0.10624575135840744,0.13414746358593244,-0.20687714963196424,0.3253967712086687,5.4521567821502686,LGBM λ=7 maxW=0.5
C24_lgbm_shrink30_maxw50,0.7893635371018335,1.2616301458778456,0.037829803166450675,0.48860009119927034,0.10537359382692416,0.13349184358553695,-0.20670623309092317,0.3223865250531526,5.5388572216033936,LGBM macro shrink=0.3 maxW=0.5
C8_lgbm_leaves63,0.7259750142143467,1.1319694815144743,0.03696269570323552,0.49350205198358416,0.09107251137017555,0.12544854793485505,-0.18754972458562813,0.27258467796626307,6.6715943813323975,LGBM leaves=63 macro maxW=0.5
C6_lgbm_n500_lr02,0.614037947583098,1.0112574673327628,0.036147125278999256,0.4916780665754674,0.0815616553734653,0.13282836296111408,-0.19578413322048327,0.23459097088552783,8.896907091140747,LGBM n=500 lr=0.02 macro maxW=0.5
